id,brand,title,price,description,keyNotes,image_url,thumbnails,status,quantity,tags
CREED_SPRINGFLOWER,Creed,Springflower,0.0,Imported from static images,,images/creed/springflower.jpg,images/creed/springflower.jpg,restocked,10,
CREED_VIKING,Creed,Viking,0.0,Imported from static images,,images/creed/viking.jpg,images/creed/viking.jpg,restocked,10,
CREED_VIRGINISLANDWATER,Creed,Virginislandwater,0.0,Imported from static images,,images/creed/virginislandwater.jpg,images/creed/virginislandwater.jpg,restocked,10,
EMPORIO_ARMANI_ACQUA_DI_GIO,Emporio Armani,Acqua Di Gio,0.0,Imported from static images,,images/emporio_armani/acqua_di_gio.jpg,images/emporio_armani/acqua_di_gio.jpg,restocked,10,
EMPORIO_ARMANI_ACQUA_DI_GIOIA,Emporio Armani,Acqua Di Gioia,0.0,Imported from static images,,images/emporio_armani/acqua_di_gioia.jpg,images/emporio_armani/acqua_di_gioia.jpg,restocked,10,
EMPORIO_ARMANI_ACQUA_DI_GIO_PROFONDO,Emporio Armani,Acqua Di Gio Profondo,0.0,Imported from static images,,images/emporio_armani/acqua_di_gio_profondo.jpg,images/emporio_armani/acqua_di_gio_profondo.jpg,restocked,10,
EMPORIO_ARMANI_ARMANI_CODE,Emporio Armani,Armani Code,0.0,Imported from static images,,images/emporio_armani/armani_code.jpg,images/emporio_armani/armani_code.jpg,restocked,10,
EMPORIO_ARMANI_ARMANI_CODE_PARFUM,Emporio Armani,Armani Code Parfum,0.0,Imported from static images,,images/emporio_armani/armani_code_parfum.jpg,images/emporio_armani/armani_code_parfum.jpg,restocked,10,
EMPORIO_ARMANI_EMPORIO_ARMANI,Emporio Armani,Emporio Armani,0.0,Imported from static images,,images/emporio_armani/emporio_armani.jpg,images/emporio_armani/emporio_armani.jpg,restocked,10,
EMPORIO_ARMANI_EMPORIO_ARMANI_DIAMONDS,Emporio Armani,Emporio Armani Diamonds,0.0,Imported from static images,,images/emporio_armani/emporio_armani_diamonds.jpg,images/emporio_armani/emporio_armani_diamonds.jpg,restocked,10,
EMPORIO_ARMANI_MY_WAY_EAU_DE_PARFUM,Emporio Armani,My Way Eau De Parfum,0.0,Imported from static images,,images/emporio_armani/my_way_eau_de_parfum.jpg,images/emporio_armani/my_way_eau_de_parfum.jpg,restocked,10,
EMPORIO_ARMANI_SI_EAU_DE_PARFUM,Emporio Armani,Si Eau De Parfum,0.0,Imported from static images,,images/emporio_armani/si_eau_de_Parfum.jpg,images/emporio_armani/si_eau_de_Parfum.jpg,restocked,10,
EMPORIO_ARMANI_SI_PASSIONE,Emporio Armani,Si Passione,0.0,Imported from static images,,images/emporio_armani/si_passione.jpg,images/emporio_armani/si_passione.jpg,restocked,10,
EMPORIO_ARMANI_STRONGER_WITH_YOU,Emporio Armani,Stronger With You,0.0,Imported from static images,,images/emporio_armani/stronger_with_you.jpg,images/emporio_armani/stronger_with_you.jpg,restocked,10,
GIORGIO_ARMANI_ACQUADIGIO,Giorgio Armani,Acquadigio,0.0,Imported from static images,,images/giorgio_armani/acquadigio.jpg,images/giorgio_armani/acquadigio.jpg,restocked,10,
GIORGIO_ARMANI_GIORGIO_ARMANI,Giorgio Armani,Giorgio Armani,0.0,Imported from static images,,images/giorgio_armani/giorgio_armani.jpg,images/giorgio_armani/giorgio_armani.jpg,restocked,10,
PARFUMS_DE_MARLY_PARFUMS_DE_MARLY,Parfums De Marly,Parfums De Marly,0.0,Imported from static images,,images/parfums_de_marly/parfums_de_marly.jpg,images/parfums_de_marly/parfums_de_marly.jpg,restocked,10,
PARFUMS_DE_MARLY_TOM_FORD_BLACK_ORCHID,Parfums De Marly,Tom Ford Black Orchid,0.0,Imported from static images,,images/parfums_de_marly/tom_ford_black_orchid.jpg,images/parfums_de_marly/tom_ford_black_orchid.jpg,restocked,10,
PARFUMS_DE_MARLY_TOM_FORD_OUD_WOOD,Parfums De Marly,Tom Ford Oud Wood,0.0,Imported from static images,,images/parfums_de_marly/tom_ford_oud_wood.jpg,images/parfums_de_marly/tom_ford_oud_wood.jpg,restocked,10,
PENHALIGONS_PENHALIGONS,Penhaligon's,Penhaligons,0.0,Imported from static images,,images/penhaligons/penhaligons.jpg,images/penhaligons/penhaligons.jpg,restocked,10,
PRD001,Creed,Aventus,350.0,"The iconic, best-selling men's fragrance by Creed. A sophisticated blend for the discerning individual, celebrating strength and success.","Top: Pineapple, Blackcurrant, Bergamot;Heart: Moroccan Jasmine, Birch, Patchouli;Base: Musk, Oakmoss, Ambergris",images/creed/aventus.jpg,"images/creed/aventus.jpg,images/creed/aventus_side.jpg,images/creed/aventus_box.jpg",restocked,10,"gym,active,masculine,fruity,sport"
PRD002,Creed,Himalaya,280.0,Inspired by the rugged beauty and serenity of the Tibetan mountains.,"Top: Bergamot, Grapefruit, Lemon;Heart: Sandalwood, Juniper Berries;Base: Musk, Ambergris, Cedarwood",images/creed/himalaya.jpg,"images/creed/himalaya.jpg,images/creed/himalaya_side.jpg,images/creed/himalaya_box.jpg",restocked,10,"active,fresh,sport,mountain,outdoor"
PRD003,Creed,Aventus for Her,330.0,The feminine counterpart to the legendary Aventus.,"Top: Green Apple, Violet, Pink Peppercorn;Heart: Rose, Styrax, Sandalwood;Base: Peach, Amber, Ylang-Ylang",images/creed/aventus_for_her.jpg,"images/creed/aventus_for_her.jpg,images/creed/aventus_for_her_side.jpg,images/creed/aventus_for_her_box.jpg",restocked,10,"fruity,feminine,confident"
TOM_FORD_TOM_FORD,Tom Ford,Tom Ford,0.0,Imported from static images,,images/tom_ford/tom_ford.jpg,images/tom_ford/tom_ford.jpg,restocked,10,
XERJOFF_XERJOFF,Xerjoff,Xerjoff,0.0,Imported from static images,,images/xerjoff/xerjoff.jpg,images/xerjoff/xerjoff.jpg,restocked,10,
